iter	RMSE
0	39.03207877
1	39.02917476
2	39.02668033
3	39.02451073
4	39.02178496
5	39.0192421
6	39.01772618
7	39.01559017
8	39.0143173
9	39.01258571
10	39.01095435
11	39.01038604
12	39.00934687
13	39.00804547
14	39.00650196
15	39.00533858
16	39.00408357
17	39.00287715
18	39.00188818
19	39.00103292
20	38.99991237
21	38.99918535
22	38.99846968
23	38.99754851
24	38.99667816
25	38.99592286
26	38.99580581
27	38.99515277
28	38.99433128
29	38.99357632
30	38.99292034
31	38.99237462
32	38.99124836
33	38.99072469
34	38.99004691
35	38.98942508
36	38.98886226
37	38.98816352
38	38.98791709
39	38.98746119
40	38.98701102
41	38.9863363
42	38.9859125
43	38.98553047
44	38.98498152
45	38.98442836
46	38.98383042
47	38.98317101
48	38.98274262
49	38.98207861
50	38.98144523
51	38.98092649
52	38.98037528
53	38.97982406
54	38.97916007
55	38.97871724
56	38.97821381
57	38.9777413
58	38.97726561
59	38.97684657
60	38.9762554
61	38.97543931
62	38.97499997
63	38.97444245
64	38.97401993
65	38.97359657
66	38.97328261
67	38.97292077
68	38.97261281
69	38.97216679
70	38.97174736
71	38.97141823
72	38.97096316
73	38.97047673
74	38.96987251
75	38.96955763
76	38.9690926
77	38.96881009
78	38.96832426
79	38.9679319
80	38.96742227
81	38.96705762
82	38.96670213
83	38.96632347
84	38.96569523
85	38.96520162
86	38.96466411
87	38.96425645
88	38.96368293
89	38.96320262
90	38.96299093
91	38.96254671
92	38.96214025
93	38.96164562
94	38.96105192
95	38.96072556
96	38.96027691
97	38.96001017
98	38.95956637
99	38.95910495
100	38.95878733
101	38.95848511
102	38.95813856
103	38.95745951
104	38.95697849
105	38.95649486
106	38.95609905
107	38.95577272
108	38.95544819
109	38.9551823
110	38.95485799
111	38.95440081
112	38.95393604
113	38.95351729
114	38.95336531
115	38.95299779
116	38.95257395
117	38.95224317
118	38.95184372
119	38.95154707
120	38.95112024
121	38.95082448
122	38.95027045
123	38.94991071
124	38.94949897
125	38.94916553
126	38.94881303
127	38.94838078
128	38.94809509
129	38.94774176
130	38.94719996
131	38.94686712
132	38.94658579
133	38.94617809
134	38.9457952
135	38.94519246
136	38.94473914
137	38.94398152
138	38.94368677
139	38.94331203
140	38.94285391
141	38.94251195
142	38.94199221
143	38.94142395
144	38.94102872
145	38.9404906
146	38.94002873
147	38.93956682
148	38.93910021
149	38.93869842
150	38.93840688
151	38.93785988
152	38.93738373
153	38.93699228
154	38.93651761
155	38.93604441
156	38.93556775
157	38.93519658
158	38.93457878
159	38.93415986
160	38.93369604
161	38.93321529
162	38.93288097
163	38.93240706
164	38.93214726
165	38.93151146
166	38.93115667
167	38.93073108
168	38.93030705
169	38.93001259
170	38.92953192
171	38.92896203
172	38.92862018
173	38.92832316
174	38.92789069
175	38.92754069
176	38.92724869
177	38.92687234
178	38.92628928
179	38.92586754
180	38.9253493
181	38.92493052
182	38.9244865
183	38.92402838
184	38.9235688
185	38.92318667
186	38.92288072
187	38.92247883
188	38.92195904
189	38.92158796
190	38.92127908
191	38.92096375
192	38.92041206
193	38.92003268
194	38.9196526
195	38.91930475
196	38.91888444
197	38.9183739
198	38.91799443
199	38.91736613
200	38.91683137
201	38.91644475
202	38.91580016
203	38.91547953
204	38.91504483
205	38.91462599
206	38.91431574
207	38.91401185
208	38.9135109
209	38.9129631
210	38.91256082
211	38.91227285
212	38.91183932
213	38.91141549
214	38.91092331
215	38.91056541
216	38.91009316
217	38.90974931
218	38.9092983
219	38.90877972
220	38.9084527
221	38.90818933
222	38.90763842
223	38.9073007
224	38.90696461
225	38.90655945
226	38.90613897
227	38.9057925
228	38.90542441
229	38.90505753
230	38.90469053
231	38.90402715
232	38.90370057
233	38.90325158
234	38.90290877
235	38.90259832
236	38.90230155
237	38.90191486
238	38.90147173
239	38.90097814
240	38.90064723
241	38.90020376
242	38.89987517
243	38.89958781
244	38.89913938
245	38.89875807
246	38.89830723
247	38.89795781
248	38.89766723
249	38.8972366
250	38.89690254
251	38.89652324
252	38.89614386
253	38.89564506
254	38.89531462
255	38.89500157
256	38.89464124
257	38.89436845
258	38.89396499
259	38.8936875
260	38.89341373
261	38.89304113
262	38.89256416
263	38.89221534
264	38.89184652
265	38.89152688
266	38.89112409
267	38.89080981
268	38.8902918
269	38.8900365
270	38.88966569
271	38.88926929
272	38.88883571
273	38.88862697
274	38.8882055
275	38.88780373
276	38.88739069
277	38.88704974
278	38.88661155
279	38.8861905
280	38.88592017
281	38.88549412
282	38.88523321
283	38.88504033
284	38.88472994
285	38.88424113
286	38.88392279
287	38.88351584
288	38.88325225
289	38.88295318
290	38.88258046
291	38.8821553
292	38.88191214
293	38.88165649
294	38.8813076
295	38.88091371
296	38.88041422
297	38.88016395
298	38.8796874
299	38.8792076
300	38.87889391
301	38.87859725
302	38.87821927
303	38.87786917
304	38.87758369
305	38.87726314
306	38.87687881
307	38.87661282
308	38.87628304
309	38.87598519
310	38.87556779
311	38.87536136
312	38.87493429
313	38.87460137
314	38.87434751
315	38.87406554
316	38.87377623
317	38.87336926
318	38.87305917
319	38.87276422
320	38.87238996
321	38.87197598
322	38.871576
323	38.87131049
324	38.87090243
325	38.87062985
326	38.87031288
327	38.86999321
328	38.86962426
329	38.86928617
330	38.86892242
331	38.86860429
