iter	Passed	Remaining
0	21	21245
1	29	14621
2	37	12308
3	43	10948
4	51	10169
5	57	9582
6	65	9266
7	71	8903
8	77	8584
9	85	8415
10	92	8276
11	99	8162
12	105	7991
13	111	7860
14	119	7863
15	126	7783
16	132	7684
17	138	7582
18	145	7512
19	152	7477
20	161	7534
21	168	7476
22	174	7420
23	180	7349
24	187	7314
25	193	7263
26	198	7158
27	205	7139
28	211	7093
29	219	7087
30	225	7042
31	232	7021
32	238	6999
33	245	6969
34	253	7002
35	260	6969
36	266	6942
37	273	6925
38	280	6901
39	287	6889
40	293	6853
41	298	6818
42	305	6794
43	311	6765
44	318	6753
45	323	6719
46	330	6696
47	337	6702
48	344	6681
49	351	6682
50	358	6669
51	376	6863
52	384	6877
53	392	6872
54	401	6894
55	408	6890
56	415	6874
57	422	6856
58	428	6829
59	434	6813
60	441	6798
61	448	6777
62	454	6754
63	460	6731
64	467	6722
65	473	6703
66	479	6681
67	486	6663
68	492	6647
69	499	6641
70	505	6620
71	512	6607
72	521	6623
73	537	6723
74	546	6740
75	553	6725
76	559	6702
77	566	6699
78	573	6681
79	579	6665
80	585	6647
81	592	6632
82	599	6623
83	605	6605
84	612	6596
85	619	6580
86	625	6560
87	632	6558
88	638	6538
89	645	6530
90	652	6519
91	659	6504
92	665	6494
93	671	6474
94	679	6474
95	686	6462
96	693	6456
97	700	6448
98	706	6430
99	713	6422
100	720	6410
101	726	6400
102	734	6400
103	741	6385
104	747	6372
105	753	6357
106	759	6341
107	767	6338
108	773	6325
109	781	6320
110	787	6304
111	793	6292
112	801	6287
113	806	6270
114	814	6266
115	820	6254
116	827	6247
117	834	6240
118	840	6225
119	848	6220
120	854	6204
121	861	6198
122	867	6186
123	873	6174
124	881	6170
125	887	6156
126	902	6204
127	908	6192
128	916	6190
129	922	6176
130	930	6172
131	936	6158
132	943	6151
133	950	6140
134	955	6124
135	963	6118
136	969	6108
137	976	6102
138	983	6094
139	990	6082
140	997	6075
141	1003	6061
142	1011	6060
143	1017	6047
144	1023	6033
145	1031	6031
146	1037	6019
147	1043	6008
148	1049	5994
149	1055	5983
150	1062	5975
151	1069	5964
152	1075	5952
153	1082	5945
154	1088	5933
155	1094	5923
156	1101	5911
157	1107	5900
158	1114	5896
159	1121	5886
160	1128	5880
161	1134	5868
162	1141	5859
163	1148	5854
164	1155	5849
165	1174	5900
166	1181	5892
167	1187	5883
168	1196	5884
169	1202	5871
170	1208	5859
171	1214	5848
172	1221	5837
173	1228	5832
174	1234	5821
175	1241	5813
176	1248	5803
177	1254	5793
178	1260	5782
179	1267	5772
180	1273	5762
181	1280	5753
182	1286	5742
183	1293	5736
184	1299	5726
185	1306	5716
186	1313	5709
187	1319	5698
188	1325	5688
189	1331	5677
190	1338	5667
191	1344	5658
192	1350	5647
193	1357	5638
194	1363	5630
195	1369	5619
196	1376	5610
197	1382	5599
198	1389	5592
199	1395	5581
200	1401	5571
201	1408	5563
202	1415	5555
203	1422	5550
204	1429	5543
205	1436	5535
206	1442	5527
207	1448	5515
208	1454	5505
209	1461	5496
210	1467	5486
211	1473	5476
212	1479	5468
213	1486	5459
214	1493	5452
215	1499	5442
216	1505	5433
217	1512	5424
218	1518	5414
219	1524	5406
220	1530	5396
221	1538	5391
222	1548	5395
223	1555	5390
224	1562	5382
225	1569	5375
226	1575	5366
227	1582	5358
228	1589	5351
229	1595	5342
230	1602	5334
231	1608	5326
232	1615	5317
233	1621	5309
234	1628	5301
235	1634	5292
236	1641	5285
237	1648	5277
238	1654	5268
239	1660	5258
240	1667	5251
241	1674	5243
242	1679	5233
243	1686	5225
244	1693	5218
245	1699	5209
246	1707	5204
247	1714	5198
248	1724	5202
249	1748	5244
250	1761	5256
251	1773	5262
252	1779	5254
253	1786	5246
254	1792	5237
255	1798	5227
256	1804	5218
257	1810	5207
258	1817	5199
259	1824	5191
260	1830	5182
261	1838	5177
262	1845	5172
263	1852	5163
264	1858	5154
265	1864	5145
266	1871	5137
267	1877	5127
268	1884	5121
269	1890	5112
270	1897	5103
271	1903	5095
272	1910	5087
273	1917	5080
274	1923	5072
275	1930	5063
276	1938	5058
277	1945	5052
278	1953	5048
279	1960	5042
280	1967	5035
281	1974	5027
282	1980	5018
283	1987	5011
284	1994	5004
285	2001	4996
286	2008	4989
287	2014	4980
288	2022	4974
289	2029	4968
290	2036	4962
291	2044	4957
292	2051	4949
293	2060	4947
294	2066	4939
295	2074	4933
296	2081	4926
297	2089	4921
298	2095	4913
299	2103	4907
300	2110	4900
301	2116	4892
302	2125	4888
303	2134	4885
304	2161	4925
305	2175	4933
306	2185	4933
307	2195	4933
